title,text
Conjoined Fetus Lady,"""Conjoined Fetus Lady"" is the fifth episode in the second season of the American animated television series ""South Park"".  The 18th episode of the series overall, it originally aired on Comedy Central in the United States on June 3, 1998.  The episode was written by series co-creators Trey Parker and Matt Stone, along with David R. Goodman, and directed by Parker.  In the episode, South Park Elementary's dodgeball team travels to China to compete for the dodgeball championship, while the town of South Park pays tribute to the school nurse, who is living with conjoined twin myslexia."
South Park (season 21),"The twenty-first season of the American animated sitcom ""South Park"" premiered on Comedy Central on September 13, 2017, and will contain ten episodes."
Something Wall-Mart This Way Comes,"""Something Wall-Mart This Way Comes"" is the ninth episode of the eighth season of the American animated television series ""South Park"", and the 120th episode of the series overall.  It originally aired on Comedy Central in the United States on November 3, 2004.  In the episode, a Wall-Mart is built in South Park, and the people start to get addicted to shopping from it, due to its irresistibly attractive bargains, thus leading many businesses in South Park to close down.  The four boys have to fight against Wall-Mart and to find a way to stop it from taking over the entire town."
HGTV Design Star (season 3),"HGTV Design Star season 3 was the third season of the American reality TV home design show HGTV Design Star.  The season first aired from 8 June to 3 August 2008 on HGTV in 9 weekly episodes.  The season was hosted by Clive Pearse and the judges were designers Vern Yip and Cynthia Rowley.  The final challenge involved renovating houses damaged during Hurricane Katrina and the winner was chosen in a vote open to viewers.  The winner was Jennifer Bertrand, who won her own TV show on HGTV called ""Paint-Over!  with Jennifer Bertrand""."
White People Renovating Houses,"""White People Renovating Houses"" is the first episode in the twenty-first season of the American animated television series ""South Park"".  It is the 278th episode of the series overall, and first aired on Comedy Central in the United States on September 13, 2017."
Put It Down (South Park),"""Put It Down"" is the second episode in the twenty-first season of the American animated television series ""South Park"".  The 279th episode of the series overall, it first aired on Comedy Central in the United States on September 20, 2017."
Chickenlover,"""Chickenlover"" is the fourth episode in the second season of the American animated television series ""South Park"".  The 16th episode of the series overall, it originally aired on Comedy Central in the United States on May 27, 1998.  The episode was written by series co-creators Trey Parker and Matt Stone, along with David R. Goodman, and directed by Parker.  In the episode, Officer Barbrady resigns as South Park's only police officer because of his illiteracy.  Anarchy ensues, just as chickens are mysteriously being molested across South Park.  Barbrady enlists the help of the boys to learn to read and discover who is molesting the chickens.  Cartman, meanwhile, masquerades as a police officer."
Camp Beverly Hills,"Camp Beverly Hills is an American US-based clothing line founded by Jeffrey A. Stein It hit a pop-culture phenomenon that began in the 1980s, the Camp Beverly Hills vintage clothing line is making comeback with a full re-launch of the brand."
Vintage Life,"Vintage Life is a British glossy fashion and lifestyle magazine, published by Dragoon Publishing, focusing on the 1920s-1970s.  It was founded in 2010 by British entrepreneur Rachel Egglestone-Evans.  Issue 1 was launched digitally in April 2010 and # a print version started from issue 2.  Since then, the magazine has developed from a bi-monthly handbag-sized 72 page magazine to a glossy high-end 148 page monthly publication available in WH Smith and Sainsbury's.  From May 2015, Vintage Life will be stocked in London's Selfridges and Harrods stores.  The magazine is also available by subscription worldwide."
Trelise Cooper,"Dame Trelise Pamela Cooper {'1': "", '2': "", '3': "", '4': ""} is a fashion designer from New Zealand.  Her designs have featured in magazines such as ""Vogue"", ""Marie Claire"", ""Women's Wear Daily"", ""InStyle"" and the television series ""Sex and the City""."
Hustler,"Hustler is a monthly pornographic magazine published in the United States.  It was first published in 1974 by Larry Flynt.  It was a step forward from the ""Hustler Newsletter"", which was cheap advertising for his strip club businesses at the time.  The magazine grew from a shaky start to a peak circulation of around 3 million; it has since dropped to approximately 500,000.  It shows explicit views of the female genitalia, becoming one of the first major US-based magazines to do so, in contrast with relatively modest publications like ""Playboy""."
Véronique Tristram,"Véronique Tristram is a fashion director for ""Glamour"" Germany since September 2015.  Before that, she was an independent stylist for European and American magazines and fashion labels.  She worked for international Condé Nast publications such as ""W"", ""Vogue Sposa"", and ""GQ"", and for German media and brands including Baldessarini, Hanro, Laurèl and Talbot Runhof.  From 2006 to 2010 she was Fashion Director of ""Cosmopolitan"" Germany and from 2000 to 2006, Deputy active fashion director of ""InStyle""."
InStyle,"InStyle is a monthly women’s fashion magazine published in the US by Time Inc. ""InStyle"" was founded in 1994."
Rachel Egglestone-Evans,"Rachel 'Rae' Evans (born 6 September 1980 in Congleton, Cheshire, England) is the editor of Vintage Life Magazine, a British publication focusing on vintage fashion and lifestyle from the 1920s to the 1970s.  She is also well known as a leading historical re-enactor, live stream presenter, photographer and entrepreneur."
Time Inc.,"Time Inc. is a multinational mass media corporation founded on November 28, 1922 by Henry Luce and Briton Hadden and based in New York City.  It owns and publishes over 100 magazine brands, most notably its flagship ""Time"".  Other magazines include ""Sports Illustrated"", ""Travel + Leisure"", ""Food & Wine"", ""Fortune"", ""People"", ""InStyle"", ""Life"", ""Golf Magazine"", ""Southern Living"", ""Essence"", ""Real Simple"", and ""Entertainment Weekly"".  It also has subsidiaries which it co-operates with the UK magazine house Time Inc.  UK, whose major titles include ""What's on TV"", ""NME"", ""Country Life"", and ""Wallpaper"".  Time Inc. also co-operates over 60 websites and digital-only titles including ""MyRecipes"", ""TheSnug"", HelloGiggles, and ""MIMI""."
Sarah Kate Ellis,"Sarah Kate Ellis (born November 27, 1971) is an American media executive, most widely known for launching and turning around media brands within magazines such as ""New York"", ""InStyle"", ""Real Simple"", and ""Vogue""."
Moll Anderson,"Moll Anderson (née Molly R. Ruffalo) is an inspirational interior designer, life stylist, author, and former national iHeart Radio host on The Moll Anderson Show.  She is the author of ""Change Your Home, Change Your Life with Color,"" """"'Seductive Tables For Two,"""" """"The Seductive Home Limited Edition"","" """"The Seductive Home,"""" and author of """"Change Your Home, Change Your Life.""""  She has been a regular contributor on The Doctors and a guest co-host on Fab""Life"" and she has been a featured guest on CBS’ The Talk, Access Hollywood Live, Good Day LA, ABC’s Good Morning America, NBC’s The Today Show, the nationally syndicated Dr. Phil Show, and The Doctors.  Anderson has written a monthly column for Nashville Lifestyles and currently writes a column for ""SuCasa Magazine.""  She has been featured in InStyle Magazine, Cosmopolitan Magazine, and other national publications.  Anderson also served as both host and designer for shows such as E! Style Network’s Look for Less: Home Edition, HGTV’s Hot Trends in Outdoor Entertaining, and Turner South’s Southern Home by Design.  Anderson was a featured blogger on Magazines.com."
Kung Fu Panda: Secrets of the Scroll,"Kung Fu Panda: Secrets of the Scroll is an animated short film in the ""Kung Fu Panda"" film series.  It was included on the 2015 Digital HD and 2016 Blu-ray, and DVD re-release of ""Kung Fu Panda"" and ""Kung Fu Panda 2""."
Kung Fu Panda,"Kung Fu Panda is a 2008 American computer-animated action comedy martial arts film produced by DreamWorks Animation and distributed by Paramount Pictures.  It was directed by John Stevenson and Mark Osborne and produced by Melissa Cobb, and stars the voices of Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, David Cross, Randall Duk Kim, James Hong, and Jackie Chan.  Set in a version of ancient China populated by anthropomorphic talking animals, the plot revolves around a bumbling panda named Po who aspires to be a kung fu master.  When an evil kung fu warrior is foretold to escape after twenty years in prison, Po is unwittingly named the chosen one destined to defeat him and bring peace to the land, much to the chagrin of the resident kung fu warriors."
Kung Fu Style,"Kung Fu Style () is a 2015 Chinese animated action adventure comedy film directed by Xu Kerr.  It was released on April 10, 2015."
Kung Fu Magoo,"Kung Fu Magoo is a Mexican-American animated action comedy film based on the ""Mr. Magoo"" character, created by Millard Kaufman and John Hubley.  This film was produced by Classic Media, Ánima Estudios, and Santo Domingo Films.  This film was also produced by Motion Toons, a new animation studio created in conjunction of Ánima Estudios, and Santo Domingo Films.  English voice-cast stars Dylan and Cole Sprouse, Alyson Stoner and voice actors Tom Kenny, Rodger Bumpass, Jim Conroy, Chris Parnell, and Maile Flanagan."
The Incredible Kung Fu Master,"The Incredible Kung Fu Master (), also known as The Kung Fu Master () is a 1979 martial arts action comedy film directed by Joe Cheung and starring Sammo Hung and Stephen Tung, the latter in his first leading role.  This film features an action direction from a number of famous action directors including Sammo Hung Stunt Team, Lam Ching-ying, Billy Chan, Bryan Leung and Yuen Biao."
Maile Flanagan,"Maile Flanagan (born May 19, 1965) is an American actress, best known for her roles as Naruto Uzumaki (English version) in ""Naruto"", as Terry Perry on ""Lab Rats"", and has had recurring roles on ""Shameless"", ""Bad Teacher"", ""The Class"", ""Grey's Anatomy"" and many cartoons."
The Forbidden Kingdom,"The Forbidden Kingdom (: ""Gong Fu Zhi Wang"" (Mandarin) or ""Gung Fu Ji Wong"" (Cantonese) and translated ""King of Kung Fu"" (English); Working title: ""The J & J Project"") is a 2008 Chinese-American fantasy kung fu wuxia film written by John Fusco, and directed by Rob Minkoff, and starring Jackie Chan and Jet Li.  Loosely based on the novel ""Journey to the West"", it is the first film to co-star Jet Li and Jackie Chan.  The action sequences were choreographed by Yuen Woo-ping."
Local Kung Fu,"Local Kung Fu is an Assamese Kung fu comedy film directed by Kenny Basumatary and the second Assamese film to have a nationwide release.  It has also been dubbed as India’s first Kung fu film.  The plot revolves around Charlie, ""an ordinary boy from Guwahati with a delicate stomach"", his girlfriend and a number of madcap characters."
Local Kung Fu 2,"Local KungFu 2 is an Assamese Kung fu action comedy film.  It is directed by Kenny Basumatary and produced by Durlov Baruah.  It is the sequel to 2013 film ""Local Kung Fu"".  The sequel is based on William Shakespeare's The Comedy of Errors.  The film-makers successfully raised money for post-production through crowdfunding and the film was released on 19 April 2017."
Kung Fu Man (film),"Kung Fu Man also known as Kung Fu Hero is a 2012 Chinese-American Kung Fu film.  This film was directed by Yuen Cheung-yan and Ning Ying and produced by Keanu Reeves, and starring Tiger Chen, Jiang Mengjie, Arman Darbo, Chyna Mccoy and Vanessa Branch."
Conformation (dog),"Conformation in dogs refers solely to the externally visible details of a dog's structure and appearance, as defined in detail by each dog breed's written breed standard.  A dog that ""conforms"" to most of the items of description in its individual breed standard is said to have ""good conformation"".  Unlike equine conformation, there are no fixed rules for dog conformation, as dogs are the most variable in appearance of any animals (""Phenotypic variation among dog breeds, whether it be in size, shape, or behavior, is greater than for any other animal"").  Instead, conformation in dogs is based on the dog type from which the breed developed, along with many details that have been added to the breed standard for purposes of differentiation from other breeds, for working reasons, or for enhancing the beauty of the animals from the viewpoint of the fanciers who wrote the breed standards."
Dog breed,"Dog breeds are dogs that have relatively uniform physical characteristics developed under controlled conditions by humans, with breeding animals selected for phenotypic traits such as size, coat color, structure, and behavior.  The Fédération Cynologique Internationale recognizes over 400 pure dog breeds."
Tugou,"Tugou (土狗, pinyin: ""tǔ gǒu""), literally means Native Dog in Mandarin Chinese, is the general name for several dog breeds originated from China and still abundantly exists across the country today.  Tugou includes the most popular Chinese dog breed - the Chinese Field Dog (, pinyin: ""zhōng huá tián yuán quǎn""), Chinese Chongqing Dog, Xiasi Dog, and several other native dog breeds distributed across China.  They are roughly 45–50 cm tall at the shoulder."
European Portuguese,"European Portuguese (Portuguese: ""português europeu"" , ] ), also known as Lusitanian Portuguese (""português lusitano "") and Portuguese of Portugal (""português de Portugal "") in Brazil, refers to the Portuguese language spoken in Portugal.  Standard Portuguese pronunciation, the prestige norm based on European Portuguese, is the reference for Portugal, the Portuguese-speaking African countries, East Timor and Macau.  The word “European” was chosen to avoid the clash of “Portuguese Portuguese” (“""português português ""”) as opposed to Brazilian Portuguese."
Breed group (dog),"A breed group is a categorization of related breeds of animal by an overseer organization, used to organize the showing of animals.  In dogs, kennel clubs define the ""Breed Groups"" and decide which dog breeds are to be included in each breed group.  The Fédération Cynologique Internationale breed groups are used to organize dogs for international competition.  Breed groups often have the names of, and are loosely based on, ancestral dog types of modern dog breeds."
Andalusian Hound,"The Andalusian hound (Spanish: ""Podenco andaluz"" ) is a dog breed originating in Spain, especially Andalusia.  These dogs are similar to other Iberian breeds such as the Ibizan Hound, the Portuguese Podengo, the Podenco Canario and the Maneto.  In the Iberian Peninsula there are cave paintings representing dogs with a strong resemblance to these races.  Dogs very similar to these, including the Cirneco dell'Etna and Pharaoh Hound, have been bred in much of the Mediterranean basin since ancient times.  Despite the widespread belief that the podencos were introduced into Spain some 3,000 years ago by the Phoenicians, recent genetic studies have concluded that these dogs actually have a close genetic relationship with other European hunting dogs and are no more ""primitive"" than the others."
Romanian Raven Shepherd Dog,"The Romanian Raven Shepherd Dog is a very large Romanian livestock guardian dog, taxonomized within the second group of dog breeds - Pinscher and Schanuzer - Molossoid Breeds - Swiss Mountain and Cattle Dogs, section 2.2: Molossoid Breeds - Mountain type."
Schweizerischer Niederlaufhund,"The Schweizerischer Niederlaufhund (FCI No, 60) (translated into English as the Small Swiss Hound, is a breed of dog of the scenthound type from Switzerland.  ""Niederlaufhund"" means short-legged hound.  The breed has a number of different varieties (all of the same breed)."
Portuguese Podengo,"The Portuguese Podengo is an ancient multi-sensory hound (sight and scent) breed of dog from Portugal.  As a breed, the Podengo is divided into three size categories that are not interbred: small (Pequeno), medium (Medio) and large (Grande).  Their coats are either short and 'smooth', or longer and 'wired'.  The smooth coated variety is traditional, dating back to the 5th century, whereas the wire coated variety is an outcome of the assimilation of various other breeds during the 20th century.  In general, the breed is healthy; the Pequeno (small) variety has an average lifespan of approximately 15–17 years."
Vulnerable Native Breeds,"Vulnerable Native Breeds are a group of dog breeds originating in the United Kingdom and Ireland, and identified by The Kennel Club (KC) as having annual registration numbers of 300 puppies or fewer.  The need for such a list was first identified in June 2003, with research conducted by the KC to identify the extent of the vulnerability and viability of each breed.  It was a joint project, with the KC working with the British and Irish Native Breeds Trust, later to be known simply as the Native Dog Breeds Trust.  The breeds on the list have been promoted at events such as Discover Dogs and Crufts, and by asking that owners of these breeds mate their dogs rather than having them spayed."
Spontaneous Combustion (album),"Spontaneous Combustion is an album by progressive metal group Liquid Trio Experiment, and is the result of the studio improvisations of Liquid Tension Experiment which occurred while John Petrucci was with his wife while she was giving birth.  The trio of Mike Portnoy, Tony Levin and Jordan Rudess continued to write music during this period.  It was released on October 23, 2007.  A few songs from ""Liquid Tension Experiment 2"" were spawned from these jam sessions including ""914"", ""Chewbacca"", and ""Liquid Dreams"".  The song ""Chris & Kevin's Bogus Journey"" is not a reference to Portnoy and Petrucci's former Dream Theater bandmates Chris Collins and Kevin Moore, but rather to the track on Liquid Tension Experiment's first album entitled ""Chris & Kevin's Excellent Adventure"", which is itself a reference to the band's photographer's habit of calling Mike Portnoy and Tony Levin ""Chris and Kevin"", even after being corrected several times.  It is also a reference to the 1991 film ""Bill & Ted's Bogus Journey"", the sequel to ""Bill & Ted's Excellent Adventure"".  The song ""Jazz Odyssey"" is a reference to the movie ""This Is Spinal Tap"", in which Spinal Tap experiments with an improvisational song of the same name."
She Is Love (Parachute song),"""She Is Love"" is the debut single by American pop rock band, Parachute, and is the lead single from their debut album, ""Losing Sleep"".  It was released on May 13, 2009.  It is their only song to enter the ""Billboard"" Hot 100 to date, peaking at #66.  The song is also their most successful single to date, as it entered the Adult Alternative Songs, Adult Contemporary, Adult Pop Songs, Heatseekers Songs, Japan Hot 100 charts and is certified Gold by the RIAA.  The album version was produced by Chris Keup/Stewart Myers.  The full band version was produced by Kyle Kelso.  Songwriter Will Anderson said that he tried to write a very simple love song that he could sing in front of a room full of girls he was trying to get to come to a show."
Don't Call It Love,"""Don't Call It Love"" is a song first released by American singer Kim Carnes on her 1981 album ""Mistaken Identity"".  The following year it was covered by Captain and Tennille and Dusty Springfield from their albums ""More Than Dancing"" and ""White Heat"".  Later the song was covered and released as a single by American entertainer Dolly Parton.  It was released in January 1985 as the first single from the album ""Real Love"".  The song reached number 3 on the ""Billboard"" Hot Country Singles & Tracks chart.  ""Don't Call It Love"" was also an Adult Contemporary hit, reaching number 12 in the US and number seven in Canada."
Love Stinks (song),"""Love Stinks"" is a song written by Peter Wolf and Seth Justman that was the title track of the J. Geils Band's 1980 album ""Love Stinks"".  The song was released as a single and peaked in the US at #38, spending three weeks in the Top 40.  In Canada, the song reached number 15.  Joan Jett covered the song for the soundtrack of the 1996 movie ""Mr. Wrong"".  The song was also featured in the film ""Opie Gets Laid"".  It was also covered by Adam Sandler in the movie ""The Wedding Singer"" and by Himalayaz with Ms. Toi for the movie ""Love Stinks""."
I Love You (The Zombies song),"""I Love You"" is a 1965 song by The Zombies, written by their member Chris White, which was covered by People!  and The Carnabeats and by several other artists, including foreign translations."
Better Than Home,"Better Than Home is the seventh solo studio album by American singer-songwriter Beth Hart.  Hart's husband and her manager convinced her to work with the production team of Rob Mathes and Michael Stevens, whom she had met when she performed at the Kennedy Center Honors in 2012.  Hart had worked with Kevin Shirley for her last three albums, but she was persuaded to try a different team and go a different direction.  The production team challenged Hart to leave behind the darker themes and to ""write more about my joy and what I believe in and what my love is.""  Hart was pushed to write songs that came from a different source, from when she was happy or having a good time.  One song on the album, ""Tell Her You Belong to Me"", took her a year and a half to write."
I Saw the Light (Hank Williams song),"""I Saw the Light"" is a country gospel song written by Hank Williams.  Williams was inspired to write the song while returning from a concert by a remark his mother made while they were arriving in Montgomery, Alabama.  He recorded the song during his first session for MGM Records, and released in September 1948.  The song is set to the tune of the traditional Scottish folk tune ""Bonnie Charlie"", also commonly known as ""Will ye no come back again?"" .  The song became the shows' closing song for Williams and one of his most popular tunes.  Williams' version did not enjoy major success during its initial release.  The song was soon covered by other acts and with time became a country gospel standard."
Can We Talk,"""Can We Talk"" is a song recorded by American R&B singer Tevin Campbell and composed and produced by Babyface.  It was the first single to be released from his double platinum second release ""I'm Ready"".  The song hit top ten on the pop charts peaking at number nine on the ""Billboard"" Hot 100 and spent a total of three weeks at number one on the US R&B chart.  It sold 500,000 copies and earned a gold certification from the Recording Industry Association of America.  The song was also Nominated for a Grammy Award for Best Rhythm & Blues Vocal Performance - Male.  It was also nominated and later won the Soul Train Music Award for Best R&B/Soul Single - Male (""Can We Talk"").  Cover versions of the hit song have been done by The Whispers, Sanchez, and Kirk Whalum (on his 2005 album ""Kirk Whalum Performs the Babyface Songbook"").  The song was later covered by British boyband Code Red in 1996, for their debut album ""Scarlet"" and was released as the album's lead single becoming a modest hit and reaching #1 in Asia.  The song has also been covered by a Japanese/Korean singer during June 2008.  The song became the opening theme to the 2012 sitcom ""1600 Penn"".  The song was sampled in hip hop duo Luniz's song ""Playa Hata"" from their debut album ""Operation Stackola"".  The song was sung by 19-year-old Victor Sulfa during the semi-finals on season 3 of ""New Zealand Idol"" as well as Nikko Smith during the Top 10 round on season 4 of ""American Idol"".  The song has been featured on at least two different compilation albums including Disc 14 of ""Classic Soul Ballads"" entitled ""Tender Love"" and Volume 6 of MTV's ""Party to Go"" compilation albums series entitled ""MTV Party to Go 6""."
Chris White (musician),"Christopher Taylor ""Chris"" White (born 7 March 1943) is an English singer, songwriter, musician, and record producer."
Willis Alan Ramsey (album),"Willis Alan Ramsey is the sole studio release by the Texas songwriter Willis Alan Ramsey.  The album's genre is hard to categorize with touches of country, country rock, folk, and folk rock.  The tunes range from the reflection and regret of ""The Ballad of Spider John"" to a heartfelt tribute to Woody Guthrie on ""Boy from Oklahoma"".  It was recorded on Leon Russell's Shelter label in 1972, and Leon sat in on piano, keyboards, vibraphone.  Other guest musicians include: Carl Radle, Jim Keltner, Red Rhodes and Russ Kunkel.  The song ""Muskrat Candlelight"" was later covered by the band America in 1973 and then by Captain & Tennille in 1976, both using the title ""Muskrat Love.""  ""Ballad of Spider John"" was covered by Jimmy Buffett on his 1974 album ""Living & Dying in 3/4 Time"".  The Song ""Satin Sheets"" (not the Jeanne Pruett song of the same name) was covered by The Bellamy Brothers.  The songs ""Geraldine and the Honeybee"" and ""Wishbone"" have been covered live several times by Widespread Panic"
Declaration of Independence of the Mexican Empire,"The Declaration of Independence of the Mexican Empire (Spanish: ""Acta de Independencia del Imperio Mexicano"" ), is the document by which the Mexican Empire declared independence from the Spanish Empire.  This founding document of the Mexican nation was drafted in the National Palace in Mexico City on September 28, 1821, by Juan José Espinosa de los Monteros, secretary of the Provisional Governmental Board."
Declaration of Montreal,"The Declaration of Montreal on Lesbian, Gay, Bisexual, and Transgender Human Rights is a document adopted in Montreal, Quebec, Canada, on July 29, 2006, by the International Conference on LGBT Human Rights which formed part of the first World Outgames.  The Declaration outlines a number of rights and freedoms pertaining to LGBT and intersex people that it is proposed be universally guaranteed.  It encompasses all aspects of human rights, from the guarantee of fundamental freedoms to the prevention of discrimination against LGBT people in healthcare, education and immigration.  The Declaration also addresses various issues that impinge on the global promotion of LGBT rights and intersex human rights.  Intended as a starting point in listing the demands of the international LGBT movement, it will ultimately be submitted to the United Nations."
Colombian Constitution of 1821,"The Constitution of Cúcuta, also known as Constitution of the Gran Colombia and Constitution of 1821, was the founding document and constitution of the country of Gran Colombia, unifying the territories of the Viceroyalty of New Granada as part of a federation.  It was signed during the Congress of Cúcuta on August 30, 1821."
Warsaw Declaration,"The Warsaw Declaration ""Toward a Community of Democracies"" is the founding document of the Community of Democracies.  It was signed on June 27, 2000 at the building of the Polish Parliament by representatives of 106 democratic states attending the opening conference of the Community of Democracies."
Best in the World '15,"Best in the World '15 was a professional wrestling pay-per-view event produced by Ring of Honor that took place at Terminal 5 in New York City, New York on June 19, 2015.  It was the sixth annual ROH Best in the World event, the first to take place on a Friday, and the second Best in the World event to be broadcast on traditional pay-per-view outlets."
Prayer Book Society of Canada,"The Prayer Book Society of Canada or PBS is an organization within the Anglican Church of Canada which ""promotes the understanding and use of the Book of Common Prayer as a spiritual system of nurture for life in Christ"".  Founded in 1985, the PBS seeks to ""ensure the retention of the doctrine and worship of the Book of Common Prayer as required by the Solemn Declaration of 1893, the founding document of the autonomous Anglican Church of Canada."""
Declaration and Address,"The ""Declaration and Address"" was written by Thomas Campbell in 1809.  It was first published in Washington, Pennsylvania in 1809.  It was the founding document for the Christian Association of Washington, a short lived religious movement of the 19th century.  The Christian Association ultimately led to what is now known as the Restoration Movement.  In many ways, Thomas Campbell was before his time.  He had an ecumenical spirit long before the ecumenical movement began.  The ""Declaration and Address"" is a testimony to his appeal for Christian unity."
Statphys,"STATPHYS is an international conference on statistical physics of the International Union of Pure and Applied Physics (IUPAP).  The series of conferences take place every three years in a different continent to give the maximum international relevance and visibility to the event.  It is the world event for the broad field of statistical physics and all its interdisciplinary developments.  The first meeting was in Florence in 1948.  After a pioneering period the periodicity of three years was established and the conference has acquired more and more importance.  The participation has reached peaks up to 1500 participants in the recent years.  Also on the occasion of this conference the prestigious Boltzmann medal is awarded.  In addition several satellite meetings are usually held along with the main event, adding to the scientific value of the meeting.  The upcoming 25th STATPHYS meeting will be held from July 22 to July 26, 2013 in Seoul, Korea ."
2006 World Outgames,"The 1st World Outgames took place in Montreal, Quebec, Canada from July 26, 2006 to August 5, 2006.  The international conference was held from July 26 to the 29.  The sporting events were held from July 29 to August 5."
ASEAN Declaration,"The ASEAN Declaration or Bangkok Declaration is the founding document of Association of Southeast Asian Nations (ASEAN).  It was signed in Bangkok on 8 August 1967 by the five ASEAN founding members, Indonesia, Malaysia, Philippines, Singapore, and Thailand as a display of solidarity against communist expansion in Vietnam and communist insurgency within their own borders.  It states the basic principles of ASEAN: co-operation, amity, and non-interference.  The date is now celebrated as ASEAN Day."
Bayshore Shopping Centre,"Bayshore Shopping Centre is a major shopping mall located in Ottawa, Ontario, Canada.  The mall is one of the busiest in the National Capital Region as it attracts about 7 million visitors per year from across the city and the surrounding region."
OC Transpo Route 95,"OC Transpo Route 95 is the Ottawa transit network's busiest route, running on the Transitway across the city.  The termination points are located in Barrhaven at Barrhaven Centre Station, and in Orléans at Place d'Orléans Station.  Weekday trips may be extended to Trim Station, a few minutes east of Place d'Orléans.  In addition, some trips also start or end at Baseline Station in the west end.  During rush hour, a few trips start or end at Tunney's Pasture Station.  Originally, the route served only the city core, but since the 1990s, the route has been expanded significantly to serve suburban areas, starting with Orléans in the early 1990s and Barrhaven in 2000."
OC Transpo Route 11,"OC Transpo Route 11 is a major cross-town bus route operated by OC Transpo in Ottawa, Ontario, Canada.  The route has its eastern terminus at Rideau Centre and its western terminus at Bayshore.  Some trips also end at Westboro on weekends.  Although not recognized as a rapid transit route by OC Transpo, it goes across-town.  It was re-numbered to Route 11 from Route 2 on April 23, 2017."
OC Transpo Route 97,OC Transpo Route 97 is the City of Ottawa bus (transitway) between downtown and the airport.  It starts at Bayshore Station at Bayshore Shopping Centre and ends at either South Keys Station or the Airport.  Several trips each day start or end at Tunney's Pasture Station.  Some trips also serve Bells Corners after serving Bayshore Station.
Bayshore station,"Bayshore is a station on Ottawa, Ontario, Canada's transitway served by OC Transpo buses.  It is located in the western transitway section at the Bayshore Shopping Centre in the neighbourhood of Bayshore.  It is the western terminus for rapid transit route 97 and route 101 , as well as other crosstown routes such as route 11 and route 85 ."
Nepean Sportsplex,"Nepean Sportsplex is a sports facility in Ottawa, Ontario, Canada.  It is located at 1701 Woodroffe Avenue north of the Ottawa Greenbelt, near the former Confederation High School along OC Transpo route 95 in the former city of Nepean.  This is the home arena to the Nepean Raiders hockey team of the Central Canada Hockey League."
Mackenzie King station,"Mackenzie King is a major station on the Ottawa Transitway.  It is served by all three of OC Transpo's principal routes along with all express routes and several crosstown routes.  It consists of reserved bus lanes on the Mackenzie King Bridge over the Rideau Canal, with indoor waiting areas attached to the adjacent Rideau Centre for westbound buses and the National Defence building for eastbound ones; the two sides are linked by crosswalks and pedestrian underpasses.  It is one of the busiest stations, due to the high density, key connections and presence of numerous trip generators.  There is also an OC Transpo shop in the Rideau Centre which supplies bus tickets, passes, and maps."
Clarence-Rockland Transpo,"Clarence-Rockland Transpo provides a public transportation service to residents of Clarence-Rockland, a city in eastern Ontario, Canada, about 35 km east of Ottawa.  The commuter bus service is part of the ""Rural Partners Transit Service"" of OC Transpo."
OC Transpo Route 4,"OC Transpo Route 4 is a crosstown bus route operated by OC Transpo in Ottawa, Ontario, Canada, that runs between Hurdman Station and the Rideau Centre in downtown Ottawa.  All trips also serve Carleton University.  Just like route 11, the route is not recognized as a rapid transit route by OC Transpo."
OC Transpo Route 61,"Route 61 (formerly known as Route 96) is a major bus-rapid transit route that travels between Terry Fox Station and St. Laurent Station via downtown Ottawa and the Transitway.  Selected route 61 trips are also extended to serve Stittsville Station.  It is one of the busiest routes operated by OC Transpo, and provides rapid transit service in Kanata along with OC Transpo Routes 62, 63 and 64.  Route 61 is also the most congested route in service."
Monsoon (2015 film),"Monsoon is a 2015 Indian Bollywood romantic drama film produced by Mahendra Dhariwal and Jitender Gulati and directed by Suzad Iqbal Khan.  The film stars Srishti Sharma, Sudhanshu, Shawar Ali, Vijay Singh and Raja Gulati.  The film was given an A certificate, due to bold scenes.  It was released on 20 February 2015.  Although the film emerged as a box office disaster, it did well in the C centres where it was targeted.  The story of the film is loosely based on an Italian romantic drama film ""Malèna""."
The Merchant of Venice (2004 film),"The Merchant of Venice is a 2004 romantic drama film based on Shakespeare's play of the same name.  It is the first full-length sound film in English of Shakespeare's playother versions are videotaped productions which were made for television, including John Sichel's 1973 version and Jack Gold's 1980 BBC production."
Baz Luhrmann,"Mark Anthony ""Baz"" Luhrmann ( ; born 17 September 1962) is an Australian film director, screenwriter and producer best known for ""Red Curtain Trilogy"", comprising his romantic comedy film ""Strictly Ballroom"" (1992), the romantic drama ""Romeo + Juliet"" (1996), and the pastiche-jukebox musical ""Moulin Rouge! "" (2001).  His 2008 film ""Australia"" is an epic historical romantic drama film starring Hugh Jackman and Nicole Kidman.  His 2013 drama ""The Great Gatsby"", based on F. Scott Fitzgerald's 1925 novel of the same name, stars Leonardo DiCaprio (whom he also used in ""Romeo + Juliet"") and Tobey Maguire."
Julia Verdin,"Julia Verdin is a British independent film producer and founder of Rough Diamond Productions, established in 1993.  She has produced over 30 feature films and is best known for Stander, starring Thomas Jane, The Merchant of Venice (2004), starring Al Pacino, Jeremy Irons and Joseph Fiennes, and 2 Jacks, starring Sienna Miller and Danny Houston."
