id,title,text
9091,Jerrold Wexler,"Jerrold Wexler( June 27, 1924 – November 10, 1992) was a noted American businessman and film producer. He was the brother of cinematographer Haskell Wexler and the stepfather of actress Daryl Hannah."
9092,Princess Elisabeth Marie of Bavaria,Princess Elisabeth of Bavaria (8 January 1874 – 4 March 1957) was a member of the Bavarian Royal House of Wittelsbach. She was known as Princess of Bavaria until 1918.
9093,Elisabeth of the Palatinate,"Elisabeth of the Palatinate( 26 December 1618 – 11 February 1680), also known as Elisabeth of Bohemia, Princess Elisabeth of the Palatinate, or Princess- Abbess of Herford Abbey, was the eldest daughter of Frederick V, Elector Palatine( who was briefly King of Bohemia), and Elizabeth Stuart. Elisabeth of the Palatinate is a philosopher best known for her correspondence with René Descartes. She was critical of Descartes' dualistic metaphysics and her work anticipated the metaphysical concerns of later philosophers."
9094,Héctor Barrantes,"Héctor Barrantes Sansoni( 1939–1990) was an Argentine polo player. He was the stepfather of Sarah, Duchess of York."
9095,Gerald Rudolff Ford,"Gerald Rudolff Ford( December 9, 1890 – January 26, 1962) was an American businessman, creator of Ford Industries, and Republican politician who was the stepfather of U.S. President Gerald Ford and for whom Ford legally changed his name."
9096,Morris Harvey,"Morris Harvey( 1877– 1944) was a British actor and writer. A renowned character actor, he also wrote for the stage, including material for Broadway revues, in which he also appeared. He was the stepfather of film director Anthony Harvey."
9097,Albert Visetti,"Albert Anthony Visetti( 13 May 1846–10 July 1928) was a Dalmatian musician who moved to London where he was Professor of Singing at the Royal College of Music, becoming a Fellow in 1921. He was the stepfather of the novelist Radclyffe Hall."
9098,Princess Elisabeth of Denmark,"Princess Elisabeth of Denmark, (""Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée""; 8 May 1935 – 19 June 2018) was the only daughter and eldest child of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and a first cousin of the present Danish monarch, Queen Margrethe II."
9099,Princess Caroline-Mathilde of Denmark,"Princess Caroline-Mathilde of Denmark (27 April 1912 – 12 December 1995) was a daughter of Prince Harald of Denmark and granddaughter of King Frederick VIII of Denmark. As the wife of Knud, Hereditary Prince of Denmark, she became Hereditary Princess of Denmark."
9100,Princess Elizabeth of Greece and Denmark,Princess Elisabeth of Greece and Denmark( 24 May 1904 – 11 January 1955) was the middle daughter of Prince Nicholas of Greece and Grand Duchess Elena Vladimirovna of Russia.
9101,E. Pierce Marshall,"Everett Pierce Marshall (January 12, 1939 – June 20, 2006) was an American petroleum industry executive. He was the beneficial owner of 16% of Koch Industries, which he received as an inheritance from his father, J. Howard Marshall II. He spent the last 15 years of his life as a defendant in lawsuits by his stepmother, Anna Nicole Smith, and his brother, J. Howard Marshall III, who both sought part of his father's fortune after being left out of the will and testament."
9102,Hypatius (consul 359),"Flavius Hypatius( c. 340- died after AD 383) was a Roman Senator, who was the brother- in- law of the Roman emperor Constantius II."
9103,Robert Vadra,"Robert Vadra is an Indian businessman, entrepreneur and the husband of Priyanka Gandhi. He is the son -in- law of Sonia Gandhi and Rajiv Gandhi, and the brother- in- law of Rahul Gandhi."
9104,Wyndham Goold,"Wyndham Goold( 1812-1854) was a Member of Parliament( MP) for County Limerick from 1850 to 1854. Goold was educated at Westminster School and Trinity College, Dublin. He was the son in law of Frederick Falkiner Goold, Archdeacon of Raphoe and brother in law of Bishop Hamilton Verschoyle"
9105,Robert W. Levering,"Robert Woodrow Levering( October 3, 1914 – August 11, 1989) was a U.S. Representative from Ohio, son-in- law of Usher L. Burdick and brother- in- law of Quentin N. Burdick."
9106,Nick Sidi,"Nick Sidi( born 22 February 1966 in Manchester, England) is an English actor. He is the son -in- law of actress Rosalind Knight and brother- in- law of actress Susannah Elliott- Knight. He often plays drama or comedy roles on television and frequently appears in BBC dramas."
9107,Elaine Tettemer Marshall,"Elaine Tettemer Marshall (born July 22, 1942) is an American billionaire as a result of an inheritance. Trusts for the benefit of Marshall and her sons own the 16% beneficial interest in Koch Industries; formerly owned by her husband, E. Pierce Marshall, to whom she was married from 1965 until his death in 2006. These shares were previously owned by her father in-law, J. Howard Marshall, who was married to Anna Nicole Smith in the last year of his life. Elaine has been a member of the board of directors of Koch Industries since the 2006 death of her husband."
9108,Eusebius (consul 359),"Flavius Eusebius( died after AD 371) was a Roman Senator, who was the brother- in- law of the emperor Constantius II."
9109,Charles Francis Norton,Charles Francis Norton( 1807 – 1835) was a 19th- century Member of Parliament for Guildford. Norton was also a Captain of 52nd Light Infantry; son-in- law of Sir Colin Campbell; brother- in- law of writer Caroline Norton
9110,Greg Penner,"Gregory B. Penner( born December 18, 1969) is an American businessman and venture capitalist. Penner was named the chairman of Walmart on June 5, 2015. He is the son-in- law of S. Robson Walton and the grandson- in- law of Sam Walton, the founder of Walmart."
9111,Friedrich Count of Lippe-Biesterfeld,Friedrich Count of Lippe- Biesterfeld( 10 May 1852 Mechernich- 15 August 1892) was Count of Lippe- Biesterfeld.
9112,"John Bernard, Count of Lippe","John Bernard, Count of Lippe (18 October 1613 - 10 June 1652) was a ruling Count of Lippe-Detmold from 1650 until his death. He was the second eldest son of Count Simon VII of Lippe and his wife Anne Catherine of Nassau-Wiesbaden-Idstein (1590-1622). After the death of his nephew Simon Philip in 1650, he inherited Lippe-Detmold. He died childless in 1652. His younger brother Herman Adolph inherited Lippe-Detmold."
9113,"Otto, Lord of Lippe","Otto, Lord of Lippe was the ruling Count of Lippe- Lemgo from 1344 until his death."
9114,"Simon Henry, Count of Lippe","Simon Henry, Count of Lippe (13 March 1649 in Sternberg – 2 May 1697 in Detmold), was a ruling Count of Lippe-Detmold."
9115,"Simon Louis, Count of Lippe","Simon Louis, Count of Lippe( 14 March 1610 at Brake Castle – 8 August 1636 in Detmold), was Count of Lippe- Detmold from 1627 until his death."
9116,"Simon VII, Count of Lippe",Count Simon VII of Lippe( 30 December 1587 at Brake Castle near Lemgo – 26 March 1627 in Detmold) was a ruler of the Reformed county of Lippe- Detmold.
9117,"Frederick Adolphus, Count of Lippe-Detmold","Frederick Adolphus of Lippe-Detmold (""Friedrich Adolf zur Lippe-Detmold""; 2 September 1667 – 18 July 1718) was a German nobleman and the Count of Lippe-Detmold from 1697 to 1718. Born in Detmold Palace, Frederick Adolphus was the eldest of sixteen children of Simon Henry, Count of Lippe-Detmold and Baroness Amalia of Dohna-Vianen, Burgravine of Utrecht and heiress of Vianen and Ameide."
9118,"Herman Adolph, Count of Lippe","Herman Adolph, Count of Lippe- Detmold( 1616 – 1666) was a ruler of the county of Lippe."
9119,"Simon V, Count of Lippe","Count Simon V of Lippe (1471September 17, 1536) was Noble Lord of Lippe, and from 1528 Count of Lippe. During his reign, the Reformation was introduced in Lippe."
9120,"Simon Henry Adolph, Count of Lippe-Detmold","Simon Henry Adolph, Count of Lippe- Detmold( 25 January 1694 – 12 October 1734) was a ruler of the county of Lippe."
9121,Caspar Babypants,"Caspar Babypants is the stage name of children's music artist Chris Ballew, who is also widely known as the singer of The Presidents of the United States of America."
9122,Kristian Leontiou,"Kristian Leontiou (born February 1982) is a British singer of Greek Cypriot descent, and is the singer for the indie rock band One eskimO."
9123,Dáithí Sproule,Dáithí Sproule( born 23 May 1950) is a guitarist and singer of traditional Irish music. His niece is the singer Claire Sproule.
9124,Panda (Astro song),""" Panda"" is a song of the Chilean band Astro and is the fifth song of the homonymous album of the year 2011. The song was composed and produced by the singer of the band Andrés Nusser and released like third single of the album on February 1, 2013."
9125,Bernie Bonvoisin,"Bernard Bonvoisin, known as Bernie Bonvoisin( born 9 July 1956 in Nanterre, Hauts- de- Seine), is a French hard rock singer and film director. He is best known for having been the singer of Trust. He was one of the best friends of Bon Scott the singer of AC/ DC and together they recorded the song"" Ride On"" which was one of the last songs by Bon Scott."
9126,Billy Milano,"Billy Milano is a Bronx- born heavy metal musician now based in Austin, Texas. He is the singer and- occasionally- guitarist and bassist of crossover thrash band M.O.D., and he was also the singer of its predecessor, Stormtroopers of Death. He was also the singer of United Forces, which also featured his Stormtroopers of Death bandmate Dan Lilker."
9127,I Wished on the Moon,"""I Wished on the Moon"" is a song composed by Ralph Rainger, with lyrics by Dorothy Parker. Bing Crosby sang the song in ""The Big Broadcast of 1936"". Crosby recorded the song on August 14, 1935 with The Dorsey Brothers Orchestra and it reached the charts of the day peaking at No. 2 during a 7-week stay. At the end of the long recording session, Crosby decided to sing only a single chorus of the song in the middle of an orchestral version instead of the full ballad treatment used in the film. This led to a long argument between the singer and producer Jack Kapp. Eventually Crosby prevailed. Crosby recorded the song again in 1954 for his album . Little Jack Little recorded the song for Columbia (catalog 3068) on June 28, 1935 and also enjoyed chart success with the song in 1935 reaching the #13 spot. Ruth Etting also recorded the song for Columbia (3070) on July 1, 1935."
9128,O Valencia!,""" O Valencia!"" is the fifth single by the indie rock band The Decemberists, and the first released from their fourth studio album,"" The Crane Wife"". The music was written by The Decemberists and the lyrics by Colin Meloy. It tells a story of two star- crossed lovers. The singer falls in love with a person who belongs to an opposing gang. At the end of the song, the singer's lover jumps in to defend the singer, who is confronting his lover's brother( the singer's"" sworn enemy"") and is killed by the bullet intended for the singer."
9129,Bing Crosby,"Harold Lillis ""Bing"" Crosby Jr. (May 3, 1903 – October 14, 1977) was an American singer, comedian and actor. The first multimedia star, Crosby was a leader in record sales, radio ratings, and motion picture grosses from 1931 to 1954. His early career coincided with recording innovations that allowed him to develop an intimate singing style that influenced many male singers who followed him, including Perry Como, Frank Sinatra, Dick Haymes, and Dean Martin. ""Yank"" magazine said that he was ""the person who had done the most for the morale of overseas servicemen"" during World War II. In 1948, American polls declared him the ""most admired man alive"", ahead of Jackie Robinson and Pope Pius XII. Also in 1948, ""Music Digest"" estimated that his recordings filled more than half of the 80,000 weekly hours allocated to recorded radio music. Crosby won an Oscar for Best Actor for his role as Father Chuck O'Malley in the 1944 motion picture ""Going My Way"" and was nominated for his reprise of the role in ""The Bells of St. Mary's"" opposite Ingrid Bergman the next year, becoming the first of six actors to be nominated twice for playing the same character. In 1963, Crosby received the first Grammy Global Achievement Award. He is one of 33 people to have three stars on the Hollywood Walk of Fame, in the categories of motion pictures, radio, and audio recording. He was also known for his collaborations with longtime friend Bob Hope, starring in the ""Road to..."" films from 1940 to 1962. Crosby influenced the development of the postwar recording industry. After seeing a demonstration of a German broadcast quality reel-to-reel tape recorder brought to America by John T. Mullin, he invested $50,000 in a California electronics company called Ampex to build copies. He then convinced ABC to allow him to tape his shows. He became the first performer to pre-record his radio shows and master his commercial recordings onto magnetic tape. Through the medium of recording, he constructed his radio programs with the same directorial tools and craftsmanship (editing, retaking, rehearsal, time shifting) used in motion picture production, a practice that became an industry standard. In addition to his work with early audio tape recording, he helped to finance the development of videotape, bought television stations, bred racehorses, and co-owned the Pittsburgh Pirates baseball team."
9130,Astrid North,"Astrid North( Astrid Karina North Radmann; 24 August 1973, Berlin – 25 June 2019, Berlin) was a German soul singer and songwriter. She was the singer of the German band, with whom she released five Albums. As guest singer of the band she published three albums."
9131,Dana Blankstein,"Dana Blankstein- Cohen( born March 3, 1981) is the director of the Israeli Academy of Film and Television. She is a film director, and an Israeli culture entrepreneur."
9132,Brian Kennedy (gallery director),"Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004."
9133,Peter Levin,"Peter Levin is an American director of film, television and theatre."
9134,Ian Barry (director),Ian Barry is an Australian director of film and TV.
9135,Olav Aaraas,"Olav Aaraas( born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav."
9136,Jesse E. Hobson,"Jesse Edward Hobson( May 2, 1911 – November 5, 1970) was the director of SRI International from 1947 to 1955. Prior to SRI, he was the director of the Armour Research Foundation."
9137,The Parisian Cobbler,The Parisian Cobbler  is a 1928 Soviet silent drama film directed by Fridrikh Ermler.
9138,Fridrikh Ermler,"Fridrikh Markovich Ermler (born Vladimir Markovich Breslav; 13 May 1898 in Rēzekne – 12 July 1967 in Leningrad) was a Soviet film director, actor, and screenwriter. He was a four-time recipient of the Stalin Prize (in 1941, twice in 1946, and in 1951). After studying pharmacology, he joined the Czarist army in 1917 and soon took part in the October revolution on the side of the Bolshevists. Captured and tortured by the White army, he only became a full party member at the end of the Civil War. From 1923 to 1924 Ermler studied at the Cinema Academy. In 1932 he took part in creating one of the first Soviet talkies – the movie ""VstrechnyThe Counterplan""). He also was one of the founders of the Creative Association KEM (together with E. Ioganson). He was one of the main figures in the Soviet propaganda movie industry whose main priority was glorifying Stalin and his supposedly successful leadership in the country's progress. A memorial plaque was placed on the house in Leningrad where he lived from 1930 to 1962."
9139,Jason Moore (director),"Jason Moore( born October 22, 1970) is an American director of film, theatre and television."
9140,S. N. Mathur,S.N. Mathur was the Director of the Indian Intelligence Bureau between September 1975 and February 1980. He was also the Director General of Police in Punjab.
9141,John Donatich,John Donatich is the Director of Yale University Press.
9142,Olav Aaraas,"Olav Aaraas( born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav."
9143,Dana Blankstein,"Dana Blankstein- Cohen( born March 3, 1981) is the director of the Israeli Academy of Film and Television. She is a film director, and an Israeli culture entrepreneur."
9144,Michael Govan,"Michael Govan( born 1963) is the director of the Los Angeles County Museum of Art since 2006. Prior to this, Govan worked as the director of the Dia Art Foundation in New York City."
9145,Chantilly Lace (film),"Chantilly Lace is a 1993 American made-for-television drama film shot in Sundance, Utah, for the Showtime Network and eventually released on video via Columbia TriStar Home Entertainment. The film was directed by Linda Yellen and features dialogue that was largely improvised by its ensemble cast."
9146,Peter Levin,"Peter Levin is an American director of film, television and theatre."
9147,Ian Barry (director),Ian Barry is an Australian director of film and TV.
9148,Etan Boritzer,"Etan Boritzer( born 1950) is an American writer of children ’s literature who is best known for his book"" What is God?"" first published in 1989. His best selling"" What is?"" illustrated children's book series on character education and difficult subjects for children is a popular teaching guide for parents, teachers and child- life professionals. Boritzer gained national critical acclaim after"" What is God?"" was published in 1989 although the book has caused controversy from religious fundamentalists for its universalist views. The other current books in the"" What is?"" series include What is Love?, What is Death?, What is Beautiful?, What is Funny?, What is Right?, What is Peace?, What is Money?, What is Dreaming?, What is a Friend?, What is True?, What is a Family?, What is a Feeling?"" The series is now also translated into 15 languages. Boritzer was first published in 1963 at the age of 13 when he wrote an essay in his English class at Wade Junior High School in the Bronx, New York on the assassination of John F. Kennedy. His essay was included in a special anthology by New York City public school children compiled and published by the New York City Department of Education. Boritzer now lives in Venice, California and maintains his publishing office there also. He has helped numerous other authors to get published through"" How to Get Your Book Published!"" programs. Boritzer is also a yoga teacher who teaches regular classes locally and guest- teaches nationally. He is also recognized nationally as an erudite speaker on"" The Teachings of the Buddha."""
9149,John Farrell (businessman),John Farrell is the director of YouTube in Latin America.
9150,Linda Yellen,"Linda Yellen is an American director, producer and writer of film and television. As a producer some of her credits are ""Playing for Time"" (1980), ""The Royal Romance of Charles and Diana"" (1982) and ""Second Serve"" (1986). Some of her credits as a director include ""Northern Lights"" (1997), ""The Simian Line"" (2001),  (2011) and ""The Last Film Festival"" (2011) which stars Dennis Hopper in his final acting role. Check out information at https://www.facebook.com/TLFFMOVIE ""BLUSH"" (2014) The untold story of a love triangle between Greta Garbo, Marlene Dietrich and Mercedes De Acosta She is the producer/writer of ""Skinny and Cat"" (2014) Linda's projects have received 2 Peabodys, 7 Emmys, including a Primetime Emmy Award as a producer for ""Playing for Time"" in 1981, 1 Silver Nymph and 2 Christophers. She is an alumna of Barnard College and Columbia University. Linda's films have been shown at Cannes, Sundance , New York, Hamptons, Monte Carlo, Aspen, Banff, Palm Springs, Nashville, Santa Fe International, and Deauville Film Festivals. Additionally, Linda's projects have been nominated for a Golden Globe and a Writers Guild Award."
9151,Wilfrid Le Gros Clark,"Sir Wilfrid Edward Le Gros Clark( June 1895 – 28 June 1971) was a British anatomist, surgeon, primatologist and palaeoanthropologist, today best remembered for his contribution to the study of human evolution. He was Dr Lee's Professor of Anatomy at the University of Oxford."
9152,Russell Mittermeier,"Russell Alan Mittermeier( born November 8, 1949) is a primatologist and herpetologist. He has written several books for both popular and scientist audiences, and has authored more than 300 scientific papers."
9153,Colin Chapman (primatologist),"Colin A. Chapman is a professor at the George Washington University in Washington, DC. In addition, he is a Fellow of the Royal Society of Canada, an Honorary Lecturer at Makerere University in Uganda, a Member of the Committee of Research and Exploration at National Geographic, and an Associate Scientists of the Wildlife Conservation Society in New York. Prior to taking on his position at McGill University, he was at the University of Florida in the Department of Zoology from 1993 to 2004. He is internationally recognized for his 30+ years of research into primate ecology, population regulation, nutrition, and disease dynamics and for his contribution to conservation globally. He is Director of the Kibale Monkey Project; a long- term project in Kibale National Park, Uganda that he started in 1989, building on the data of Thomas Struhsaker from Duke University who worked in Kibale from 1970 to 1987. The project focuses on primate ecology and conservation, but also has a very strong component examining forest dynamics, including those driven by climate change, elephant numbers, and forest succession. The team of researcher he has worked with have also placed a heavy emphasis on conservation strategies, including forest regeneration, animal population recovery, fragmentation, people- parks relationships, zoonotic disease spread, and the link between providing health care and conservation."
9154,Kohl Stewart,"Kohl Robert Stewart( born October 7, 1994) is an American professional baseball pitcher for the Baltimore Orioles of Major League Baseball( MLB). He has played in MLB for the Minnesota Twins. He was the fourth overall selection in the 2013 MLB draft."
9155,John G. Fleagle,"John G. Fleagle is an American anthropologist, primatologist, and Distinguished Professor at State University of New York, Stony Brook. He graduated from Yale University"" cum laude"" in 1971, and from Harvard University with a M.S. in Anthropology in 1973, and from Harvard University, with a Ph.D. in Biological Anthropology in 1976."
9156,Esteban Sarmiento,"Esteban Sarmiento is a primatologist and biologist. He is noted for his work in primate anthropology and for appearing on the"" Monster Quest"" television series."
9157,Tilo Nadler,"Tilo Nadler( born 24 December 1941) is a primatologist and the founder of Endangered Primate Rescue Center( EPRC), which is the first wildlife rehabilitation center in Indochina."
9158,Agustín Fuentes,"Agustín Fuentes is an American primatologist and biological anthropologist at the University of Notre Dame. His work focuses largely on human and non-human primate interaction, pathogen transfer, communication, cooperation, and human social evolution."
9159,Ben Garrod,"Ben Garrod( born 29 January 1982) is an English evolutionary biologist, primatologist and broadcaster. He is Professor of Evolutionary Biology and Science Engagement at the University of East Anglia, Norwich, since 2019."
9160,Amy Parish,"Amy Parish is a Biological Anthropologist, Primatologist, and Darwinian Feminist. She has taught at the University of Southern California in the Gender Studies and Anthropology departments since 1999. She is recognised as being a world leading expert in bonobo studies."
9161,David Flamholc,"David Flamholc( born September 27, 1974) is a Swedish film- maker and director. He lives in London and works through his company Caravan Film."
9162,Jacques Décombe,"Jacques Décombe is a French author, actor and director born in 1953."
9163,Armondo Linus Acosta,"Armondo Linus Acosta, also known as Armand Acosta and Armando Acosta( born September 23, 1938), is an American- born award- winning film director, screenwriter, cinematographer, producer and designer. He is best known for his motion picture film- in- concert"" Romeo. Juliet"". Acosta is about to release"" The Living Tableau"", a stand- alone filmic recreation of Leonardo DaVinci's"" The Last Supper,"" as well as the opening sequence of Acosta's new feature film project:"" The Last Supper: A Divine Prophecy. The Living Tableau"" is the first time in motion picture history that Vittorio Storaro, cinematographer, Dante Ferretti, production designer and Francesca Lo Schiavo, set decorator, have worked together."
9164,Yolonda Ross,"Yolonda Ross is an American character actress, writer and director born (31 July 1974)."
9165,Romeo.Juliet,"Romeo. Juliet is a 1990 film- in- concert adaptation of William Shakespeare's tragedy"" Romeo and Juliet"". The motion picture is an original creation by American director, producer, writer and cinematographer Armando Acosta( also credited as Armondo Linus Acosta and Armand Acosta). With a cast of feral cats from Venice, New York City, Verona and Ghent, the dialogue is vocalized by award- winning British film and theater talent. The soundtrack features Sergei Prokofiev's"" Romeo and Juliet"" ballet music."
9166,Claude Weisz,Claude Weisz is a French film director born in Paris.
9167,Fred Roy Krug,"Fred R. Krug is an American film and television producer- director born in Bern, Switzerland."
9168,Lithivm,"Lithivm( also known as"" Lithium Europe"") is a Swedish horror thriller from 1998 directed by David Flamholc and Swedish voice acting veteran Fredrik Dolk and Johan Widerberg. The title of the film is a stylised spelling of"" Lithium"" which is used to treat people with bipolar disorder."
9169,Sepideh Farsi,"Sepideh Farsi is an Iranian film director, born in Tehran in 1965."
9170,Joshua Sinclair,"Joshua Sinclair( born May 7, 1953) is an American writer, producer, actor and director born in New York City."
9171,Walter Robinson (composer),"Walter Robinson is an African American composer of the late 20th century. He is most notable for his 1977 song"" Harriet Tubman"", which has been recorded by folk musicians such as Holly Near, John McCutcheon, and others. He is also the composer of several operas."
9172,George S. Kaufman,"George Simon Kaufman( 16 November 1889 – 2 June 1961) was an American playwright, theatre director and producer, humorist, and drama critic. In addition to comedies and political satire, he wrote several musicals for the Marx Brothers and others. He won the Pulitzer Prize for Drama for the musical"" Of Thee I Sing""( with Morrie Ryskind and Ira Gershwin) in 1932, and won again in 1937 for the play"" You Ca n't Take It with You""( with Moss Hart). He also won the Tony Award for Best Director in 1951 for the musical"" Guys and Dolls""."
9173,Who Cares? (Gershwin song),""" Who Cares?"" is a song composed by George Gershwin, with lyrics by Ira Gershwin, written for their 1931 musical"" Of Thee I Sing"". It was introduced by William Gaxton and Lois Moran in the original Broadway production."
9174,Love is Sweeping the Country,""" Love is Sweeping the Country"" is a song composed by George Gershwin, with lyrics by Ira Gershwin. It was premiered by George Murphy and June O' Dea in the 1931 musical"" Of Thee I Sing""."
9175,Petrus de Domarto,"Petrus de Domarto( fl. c. 1445– 1455) was a Franco- Flemish composer of the Renaissance. He was a contemporary and probable acquaintance of Ockeghem, and was the composer of at least one of the first unified mass cycles to be written in continental Europe."
9176,Of Thee I Sing (song),"""Of Thee I Sing"" is a 1931 song composed by George Gershwin, with lyrics by Ira Gershwin. It was introduced by William Gaxton and Lois Moran in the 1931 musical ""Of Thee I Sing""."
9177,Alonso Mudarra,"Alonso Mudarra( c. 1510 – April 1, 1580) was a Spanish composer of the Renaissance, and also played the vihuela, a guitar- shaped string instrument. He was an innovative composer of instrumental music as well as songs, and was the composer of the earliest surviving music for the guitar."
9178,Alexander Courage,"Alexander Mair"" Sandy"" Courage Jr.( December 10, 1919 May 15, 2008) was an American orchestrator, arranger, and composer of music, primarily for television and film. He is best known as the composer of the theme music for the original"" Star Trek"" series."
9179,Alexandru Cristea,"Alexandru Cristea( 1890 – 1942) was the composer of the music for"" Limba Noastră"", current national anthem of Moldova."
9180,George Gershwin,"George Gershwin (born Jacob Bruskin Gershowitz, September 26, 1898 – July 11, 1937) was an American composer and pianist whose compositions spanned both popular and classical genres. Among his best-known works are the orchestral compositions ""Rhapsody in Blue"" (1924) and ""An American in Paris"" (1928), the songs ""Swanee"" (1919) and ""Fascinating Rhythm"" (1924), the jazz standard "" I Got Rhythm"" (1930), and the opera ""Porgy and Bess"" (1935) which spawned the hit ""Summertime"". Gershwin studied piano under Charles Hambitzer and composition with Rubin Goldmark, Henry Cowell, and Joseph Brody. He began his career as a song plugger but soon started composing Broadway theater works with his brother Ira Gershwin and with Buddy DeSylva. He moved to Paris intending to study with Nadia Boulanger, but she refused him. He subsequently composed ""An American in Paris"", returned to New York City and wrote ""Porgy and Bess"" with Ira and DuBose Heyward. Initially a commercial failure , it came to be considered one of the most important American operas of the twentieth century and an American cultural classic. Gershwin moved to Hollywood and composed numerous film scores. He died in 1937 of a malignant brain tumor. His compositions have been adapted for use in film and television, with several becoming jazz standards recorded and covered in many variations."
9181,Ian Barry (director),Ian Barry is an Australian director of film and TV.
9182,Kate Dollenmayer,"Kate Dollenmayer is an American actor. She debuted as lead actor in the 2002 film"" Funny Ha Ha"" by Andrew Bujalski."
9183,Arno Frisch,"Arno Frisch( born 13 November 1975) is an Austrian actor. He has had central roles in two films by Michael Haneke, namely,"" Benny's Video"" and"" Funny Games""."
9184,Funny Games (2007 film),"Funny Games (alternatively titled Funny Games U.S.) is a 2007 internationally co-produced psychological thriller film written and directed by Michael Haneke, and a remake of his own 1997 film of the same name. Naomi Watts, Tim Roth, Michael Pitt, and Brady Corbet star in the main roles. The film is a shot-for-shot remake of the 1997 film, albeit in English and set in the United States with different actors. Exterior scenes were filmed on Long Island. The film is an international co-production of the United States, United Kingdom, France, Germany, and Italy. Haneke has stated that the film is a reflection and criticism of violence used in media."
9185,Peter Levin,"Peter Levin is an American director of film, television and theatre."
9186,Brady Corbet,"Brady James Monson Corbet( born August 17, 1988) is an American actor and filmmaker. Corbet is known for playing Mason Freeland in the film"" Thirteen"", Brian Lackey in the film"" Mysterious Skin"", Alan Tracy in the 2004 film"" Thunderbirds"", and Peter in the 2007 film"" Funny Games"". He has made guest appearances on many television shows. He made his feature film directorial debut with"" The Childhood of a Leader"" and won Best Debut film and Best Director award at 72nd Venice International Film Festival. Corbet played Derek Huxley, the son of Jack Bauer's( Kiefer Sutherland) new girlfriend, in the first six episodes of the fifth season of the television series"" 24""."
9187,John Farrell (businessman),John Farrell is the director of YouTube in Latin America.
9188,Dana Blankstein,"Dana Blankstein- Cohen( born March 3, 1981) is the director of the Israeli Academy of Film and Television. She is a film director, and an Israeli culture entrepreneur."
9189,Michael Govan,"Michael Govan( born 1963) is the director of the Los Angeles County Museum of Art since 2006. Prior to this, Govan worked as the director of the Dia Art Foundation in New York City."
9190,Michael Haneke,"Michael Haneke (born 23 March 1942) is an Austrian film director and screenwriter. His work often examines social issues and depicts the feelings of estrangement experienced by individuals in modern society. Haneke has made films in French, German, and English and has worked in television‚ theatre, and cinema. He also teaches film direction at the Film Academy Vienna. His directorial debut, ""The Seventh Continent"", won the Bronze Leopard at the Locarno International Film Festival in 1989. He later won the Grand Prix at the 2001 Cannes Film Festival for ""The Piano Teacher"" and the Best Director Award for ""Caché"" at the 2005 Cannes Film Festival. He subsequently directed the 2007 remake of his controversial 1997 film ""Funny Games"". At the 2009 Cannes Film Festival, his film ""The White Ribbon"" won the Palme d'Or, and at the 67th Golden Globe Awards the film won the Golden Globe Award for Best Foreign Language Film. In 2012, his film ""Amour"" premiered and competed at the 2012 Cannes Film Festival. The film would go on to win the Palme d'Or, making it his second win of the prestigious award in three years; this made him the seventh director (at the time) to have won it twice and the only Austrian director to have accomplished this. The film received five Academy Award nominations, including Best Picture, Best Director, Best Original Screenplay, and Best Actress in a Leading Role for Emmanuelle Riva; it won in the category of Best Foreign Language Film. In 2013, Haneke won the Prince of Asturias Award for the arts. His twelfth and most recent film, ""Happy End"", was nominated for the Palme d'Or at the 2017 Cannes Film Festival."
9191,A Piece of Sky (1980 film),A Piece of Sky  is a 1980 Soviet comedy film directed by Henrik Malyan.
9192,Henrik Malyan,"Henrik Sureni Malyan (also transliterated Henrik Malian; September 30, 1925 – March 14, 1988) was an Armenian film director and writer. He was born in Telavi, Georgia. Malyan's uncle was famous actor David Malyan. He studied chess at an early age, along with Tigran Petrosian. From 1942 to 1945 he worked as a draftsman and designer at a factory in Tbilisi. In 1951 he concluded studies in film direction from the Yerevan Theatre Institute (Ереванский художественно-театральный институт). Between 1951 and 1954, he was a director at various theaters in Armenia. In 1953, he graduated from the Moscow Theatre Institute. From 1954 on he worked with the film studio Armenfilm. His 1977 film ""NahapetLife Triumphs"") is considered to be one of the most important Armenian films to deal with the Armenian Genocide. It was exhibited in the 1978 Cannes Film Festival. In 1980 he founded the Henrik Malyan Theatre-Studio for stage works. In 1982 he was named a People's Artist of the USSR."
